,Host,8/12,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,?,? Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,,? Last 30,-1 Month ?,-2 Month ?,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,,Est Rev,Days Month,Hours Month,Rewards Month,Link
41,7435582767171338256,zdenkozajac23,GO,-1,2,,,,4,Y,1.00,1,12%,7,6,4,15,11,225,581,1,"100,000","99,775",Down,1,,642,417,,-1,,-3,0,0,0,-,0,,?0.76,8,20,0,https://www.tiktok.com/@zdenkozajac23
125,7471238655693275153,the0nlyella_,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,40,386,1,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@the0nlyella_
54,7408512779071782913,robert_artus,GO,-1,,,,Eliza,14,Y,1.00,1,12%,7,6,4,15,11,74,191,1,"100,000","99,926",Down,1,,215,386,22,-1,-1,-3,0,0,0,-,0,,?0.25,8,20,0,https://www.tiktok.com/@robert_artus
126,7667685071561883668,leightonsasmr,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,385,385,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@leightonsasmr
82,7456790095128199169,chef.yk,GO,-1,,@chef.yk,,Eliza,12,Y,1.00,0,0%,7,7,0,15,15,7,18,1,"100,000","99,993",Down,1,,233,382,692,-1,-1,-3,0,0,0,-,0,,?0.02,8,20,0,https://www.tiktok.com/@chef.yk
127,7417810182169903121,isangeluractualname,GO,-1,,@angel_may_1212,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,359,359,0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@isangeluractualname
38,7460229802427940881,thelegendarynutjob,GO,-1,,,,LA,4,Y,1.00,2,23%,7,5,6,15,9,315,814,1,"100,000","99,685",Down,1,,665,350,"1,137",-1,-1,-3,0,0,0,-,0,,?1.06,8,20,0,https://www.tiktok.com/@thelegendarynutjob
128,7664244528823451664,luketheatreproductions,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,268,268,,2,,3,0,0,0,-,0,,?0.00,15,40,0,https://www.tiktok.com/@luketheatreproductions
129,7459732425032302609,calmcreatives,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,109,260,0,1,-1,0,"14,500",0,"14,500",-,0,,?0.00,11,30,0,https://www.tiktok.com/@calmcreatives
83,7649369482896424961,inspiredhottie,GO,-1,2,,,Eliza,15,Y,1.00,2,23%,7,5,2,15,13,7,18,1,"100,000","99,993",Down,1,,244,243,,-1,,-3,0,0,0,-,0,,?0.02,8,20,0,https://www.tiktok.com/@inspiredhottie
59,7660070348406325255,itsreallycarlos,GO,-1,2,,,,14,Y,1.00,3,35%,7,4,7,15,8,52,134,1,"100,000","99,948",Down,1,,281,229,,-1,,-3,0,0,0,-,0,,?0.18,8,20,0,https://www.tiktok.com/@itsreallycarlos
