UID,,DIAMONDS,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,TIER,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,LEVEL,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,REWARDS,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,REVENUE,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,BONUS,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
7359135158852681733,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,,,
7359135227891056646,queenofdreamz_444,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135160362958854,justbrendaaaa,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135232244678661,christianmiller.music,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135227891023878,keystone_outdoors3,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135203316596742,brittanydejardo,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135181367869445,annaamaxx,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135264167428102,coloreomusic,"325,297",,,,,,,,4,,,,6,,,,2,,,,,,,,0,0,0,0,0,0,0,,"$1,463.84",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135283092226053,oregonstargirl,"695,365",,,,,,,,5,,,,6,,,,3,,,,,,,,0,0,0,0,0,0,0,,"$3,129.14",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135281678712838,blakeslifeline,"217,032",,,,,,,,3,,,,4,,,,1,,,,,,,,0,0,0,0,0,0,0,,$976.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135268521246726,thetrapviolinist,"87,975",,,,,,,,1,,,,5,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$395.89,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135361911652357,shelbyjo89,"18,276",,,,,,,,1,,,,2,,,,2,,,,,,,,0,0,0,0,0,0,0,,$82.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135322615185413,aaronhunt30,"319,749",,,,,,,,4,,,,4,,,,-1,,,,,,,,0,0,0,0,0,0,0,,"$1,438.87",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135264155107334,danielsbrowning,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135264155140102,umparker,"1,169",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$5.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135353263030278,codyglenncoxmusic,"5,906",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$26.58,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135347281985541,first.lady.jay2.0,280,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$1.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135286036561926,lsxcrew,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135268504469509,jeremygregorymusic,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135302167822342,#N/A,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,,,
7359135264113065989,wmblakehenry_jivemnd,"4,316",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$19.42,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135337295118341,#N/A,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,,,
7359135318186033158,happy.hippogh,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135262674321413,camciesielski,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135269972606982,rusty_35,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135273021865990,kathleen_oneill,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135407352610822,burnt.tatertot,"629,515",,,,,,,,5,,,,6,,,,2,,,,,,,,0,0,0,0,0,0,0,,"$2,832.82",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135408745447429,b.herbz,"248,846",,,,,,,,3,,,,4,,,,0,,,,,,,,0,0,0,0,0,0,0,,"$1,119.81",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135442542952454,lil.ginga5,"26,264",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$118.19,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135501099761669,itskbearr,681,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$3.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135442551209989,rcvry_w._uncle_louie,"3,512",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$15.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135444145274886,srt.berner420,"111,932",,,,,,,,2,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$503.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135484905553925,nicolefarahh,"1,397,887",,,,,,,,6,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,"$6,290.49",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135416206950406,tripsevenofficial1,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135410272239622,lolthatsrichie,"4,253",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$19.14,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135408740925446,#N/A,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,,,
7359135407319285766,user_15253637,35,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135442542821382,#N/A,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,,,
7359135448591040518,firefly_kat26,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135416169103365,#N/A,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,,,
7359135457160069126,katie.n.marie,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135727810052101,hotterjakepaul,"1,598,104",,,,,,,,6,,,,5,,,,2,,,,,,,,0,0,0,0,0,0,0,,"$7,191.47",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135589712560133,silvershadowmark,550,,,,,,,,1,,,,3,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$2.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135698651217926,mystiquedejello,"495,678",,,,,,,,4,,,,5,,,,0,,,,,,,,0,0,0,0,0,0,0,,"$2,230.55",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135762769608710,m1stresswedn3sday,"116,384",,,,,,,,2,,,,4,,,,1,,,,,,,,0,0,0,0,0,0,0,,$523.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135632007921670,24widmar,"43,291",,,,,,,,1,,,,2,,,,0,,,,,,,,0,0,0,0,0,0,0,,$194.81,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135689868443654,carringtonchronicles,"1,933",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$8.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135591147274246,#N/A,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,,,
7359135732201488390,toxic_luigi69,"2,431",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$10.94,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135736874467333,jovanijara99,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135748324425734,jasoncohenofficial,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
