,Host,5/27,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,?,? Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,? Last 30,-1 Month ?,-2 Month ?,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Unis,Est Rev,Bonus,Days Month,Hours Month,Rewards Month,Link
185,7504826782965760017,katelyn.mitchell23,GO,2,5,@katelynmitchell0291,,LEVI,61,Y,1.00,13,68%,15,2,30,40,10,"11,179","12,835",1,"100,000","88,821",-,1,,"12,678","3,794","6,516",1,2,10,0,0,0,-,0,0,$50,$0.00,11,30,0,https://www.tiktok.com/@katelyn.mitchell23
190,7359136233764716549,stephanie197222,GO,4,2,@stephanie197222,,LEVI,13,Y,1.00,19,99%,22,3,81,80,-1,"10,375","11,912",1,"100,000","89,625",-,1,,"11,042","7,851",,5,,28,0,0,0,-,0,0,$47,$0.00,22,80,0,https://www.tiktok.com/@stephanie197222
191,7370643117634224145,beautiful_soul_25,GO,1,19,@queen_nala_,,LEVI,30,Y,1.00,9,47%,11,2,28,30,2,"10,144","11,647",1,"100,000","89,856",-,1,,"11,113","13,403","11,109",-1,1,4,"2,000",0,0,-,0,0,$46,$0.00,8,20,0,https://www.tiktok.com/@beautiful_soul_25
192,7587257848577441847,im.just.a.girly39,GO,1,6,@nicoles.here3,Gaming,BRYTON,29,Y,1.00,10,52%,11,1,69,30,-39,"10,002","11,484",1,"100,000","89,998",-,1,,"10,002","1,126","14,699",-1,3,5,0,0,0,-,0,0,$45,$0.00,8,20,0,https://www.tiktok.com/@im.just.a.girly39
194,7572411477894643767,cecelove320,GO,0,7,@cecechristian,,LEVI,41,Y,1.00,9,47%,8,-1,16,20,4,"9,949","11,423",1,"100,000","90,051",-,1,,"14,424","42,178","52,686",4,4,17,0,0,0,-,0,0,$45,$0.00,22,80,0,https://www.tiktok.com/@cecelove320
193,7437320426143055889,sunshinebloomed,GO,0,19,@thederrrtygirl,Music,LEVI,24,Y,1.00,9,47%,8,-1,17,20,3,"9,953","11,428",1,"100,000","90,047",-,1,,"12,096","6,299",0,0,-1,3,0,0,"-45,000",-,0,0,$45,$0.00,8,20,0,https://www.tiktok.com/@sunshinebloomed
195,7524533007961751553,millennialbeth,GO,-1,5,@millennialbeth,,LEVI,330,Y,1.00,6,31%,7,1,9,15,6,"9,495","10,902",1,"100,000","90,505",Down,1,,"9,495",0,"2,495",-1,-1,1,0,0,0,-,0,0,$43,$0.00,8,20,0,https://www.tiktok.com/@millennialbeth
195,7626504102016630798,dramacat4,GO,1,2,@arikosuki,Gaming,LEVI,33,Y,1.00,10,52%,11,1,34,30,-4,"9,053","10,394",1,"100,000","90,947",-,1,,"9,361","6,711",,1,,7,0,0,0,-,0,0,$41,$0.00,11,30,0,https://www.tiktok.com/@dramacat4
197,7455857931691507713,sebastianadamick,GO,0,17,@stretchbat92674,,LEVI,6,Y,1.00,7,37%,8,1,16,20,4,"9,005","10,339",1,"100,000","90,995",-,1,,"9,566","2,003","5,221",0,3,4,"8,000","12,000","-4,000",-,0,0,$41,$0.00,8,20,0,https://www.tiktok.com/@sebastianadamick
199,7359136608869711878,ambernicolesings,GO,-1,6,@ambernicolemusicc,,LEVI,41,Y,1.00,3,16%,7,4,4,15,11,"8,660","9,943",1,"100,000","91,340",Down,1,,"8,660",0,0,-1,-1,1,0,0,0,-,0,0,$39,$0.00,8,20,0,https://www.tiktok.com/@ambernicolesings
181,7359138702754480133,animalondrums,GO,-1,3,@animalondrums,Music,LEVI,39,Y,1.00,6,31%,7,1,11,15,4,"11,349","13,030",1,"100,000","88,651",Down,1,,"11,349","14,878","20,482",-1,1,1,0,0,0,-,0,0,$51,$0.00,8,20,0,https://www.tiktok.com/@animalondrums
201,7625705309243457549,mattwatersmusic,GO,1,2,@mattwatersmusic,Music,SKYLER,39,Y,1.00,12,63%,11,-1,26,30,4,"8,540","9,805",1,"100,000","91,460",-,1,,"10,613","10,607",,3,,13,0,0,0,-,0,0,$38,$0.00,18,60,0,https://www.tiktok.com/@mattwatersmusic
200,7379128586931929104,kingeloteroman,GO,4,24,,,LEVI,86,Y,1.00,21,110%,22,1,114,80,-34,"8,561","9,829",1,"100,000","91,439",-,1,,"13,175","6,405","3,023",5,3,29,"10,000",0,"10,000",-,0,0,$39,$0.00,22,80,0,https://www.tiktok.com/@kingeloteroman
201,7559005176611520526,ivyalexmusic,GO,3,1,@pianolady8,Music,DYLAN,205,Y,0.48,8,42%,9,1,20,30,10,"8,506","9,766",1,"100,000","91,494",-,1,,"8,506",,,,,10,0,0,0,-,0,0,$38,$0.00,4,10,0,https://www.tiktok.com/@ivyalexmusic
198,7547563824795271223,rdino_36,GO,4,9,@rdino3645,Gaming,LEVI,110,Y,1.00,20,104%,22,2,82,80,-2,"8,699","9,988",1,"100,000","91,301",-,1,,"9,418","7,932",0,5,-1,28,0,0,0,-,0,0,$39,$0.00,22,80,0,https://www.tiktok.com/@rdino_36
204,7457401443486826512,_kristie032,GO,-1,17,@kristie_32,,PAUL,7,Y,1.00,4,21%,7,3,13,15,2,"8,144","9,351",1,"100,000","91,856",Down,1,,"8,144","1,671","1,028",-1,-1,1,0,0,0,-,0,0,$37,$0.00,8,20,0,https://www.tiktok.com/@_kristie032
204,7632374752937754638,ashtondrak3,GO,1,2,@ashtondrak3,,LEVI,38,Y,1.00,10,52%,11,1,20,30,10,"8,140","9,346",1,"100,000","91,860",-,1,,"9,844","4,533",,2,,10,0,0,0,-,0,0,$37,$0.00,15,40,0,https://www.tiktok.com/@ashtondrak3
203,7359139572674232325,moji.music,GO,-1,26,@mojigallomusic,Music,LEVI,3,Y,1.00,1,5%,7,6,3,15,12,"8,483","9,740",1,"100,000","91,517",Down,1,,"8,494","12,628","145,289",-1,1,1,"7,750",500,"7,250",-,0,0,$38,$0.00,8,20,0,https://www.tiktok.com/@moji.music
206,7359136395657019397,jordan.o1son,GO,-1,32,@jordan.o1son_20836,,LEVI,7,Y,1.00,1,5%,7,6,2,15,13,"8,027","9,216",1,"100,000","91,973",Down,1,,"8,027",0,842,-1,-1,1,"8,500","17,000","-8,500",-,0,0,$36,$0.00,8,20,0,https://www.tiktok.com/@jordan.o1son
207,7359139288946245637,lisamarieshippy,GO,-1,27,,,LEVI,7,Y,1.00,4,21%,7,3,10,15,5,"7,827","8,987",1,"100,000","92,173",Down,1,,"8,013","3,344","1,500",1,-1,4,0,0,0,-,0,0,$35,$0.00,11,30,0,https://www.tiktok.com/@lisamarieshippy
208,7595842605108445239,tarotbymoonbeam,GO,-1,5,@b_moonbeam,,LEVI,45,Y,1.00,1,5%,7,6,5,15,10,"7,626","8,756",1,"100,000","92,374",Down,1,,"7,626","7,089","12,391",-1,-1,1,0,0,0,-,0,0,$34,$0.00,8,20,0,https://www.tiktok.com/@tarotbymoonbeam
209,7620939720440365069,melwithaperiod,GO,-1,3,@melwithaperiod,Music,SKYLER,41,Y,1.00,4,21%,7,3,8,15,7,"7,535","8,651",1,"100,000","92,465",Down,1,,"7,535","42,344","16,019",2,3,10,0,0,0,-,0,0,$34,$0.00,15,40,0,https://www.tiktok.com/@melwithaperiod
210,7514969467965685761,gigisworld4ever,GO,-1,3,@gigii98_,,LEVI,12,Y,1.00,6,31%,7,1,11,15,4,"7,519","8,633",1,"100,000","92,481",Down,1,,"7,519","5,475","2,592",-1,-1,1,0,0,0,-,0,0,$34,$0.00,8,20,0,https://www.tiktok.com/@gigisworld4ever
211,7498425395025330192,jonathan.mcclaine,GO,-1,14,@tupaceditz0405,,COLTON,53,Y,1.00,0,0%,7,7,3,15,12,"7,443","8,546",1,"100,000","92,557",Down,1,,"7,980","34,592","8,014",-1,-1,2,0,0,0,-,0,0,$33,$0.00,8,20,0,https://www.tiktok.com/@jonathan.mcclaine
212,7436461793502855184,kayleecapo,GO,-1,19,@kay010017,,LEVI,34,Y,1.00,2,10%,7,5,5,15,10,"7,374","8,466",1,"100,000","92,626",Down,1,,"7,374",0,0,-1,-1,1,0,0,0,-,0,0,$33,$0.00,8,20,0,https://www.tiktok.com/@kayleecapo
213,7624162870003253261,mariigamez333,GO,-1,2,@drugemlikecardi,Gaming,ALLIE,93,Y,1.00,5,26%,7,2,18,15,-3,"7,121","8,176",1,"100,000","92,879",Down,1,,"7,121",873,,-1,,1,0,0,0,-,0,0,$32,$0.00,8,20,0,https://www.tiktok.com/@mariigamez333
217,7619564589575061518,bloodlust.cosplays,GO,-1,3,@bloodlust.cosplays,,TITAN,0,Y,1.00,2,10%,7,5,6,15,9,"6,940","7,968",1,"100,000","93,060",Down,1,,"8,448","2,573",434,-1,-1,1,0,0,0,-,0,0,$31,$0.00,8,20,0,https://www.tiktok.com/@bloodlust.cosplays
214,7537793382597410829,svendranoel,GO,-1,10,@svendranoel,Gaming,LEVI,101,Y,1.00,6,31%,7,1,13,15,2,"7,118","8,173",1,"100,000","92,882",Down,1,,"7,260","1,185","67,982",-1,1,1,"102,000","102,000",0,-,0,0,$32,$0.00,8,20,0,https://www.tiktok.com/@svendranoel
218,7385256657963499537,sammirios_,GO,-1,24,@xosammi.,,LEVI,5,Y,1.00,2,10%,7,5,5,15,10,"6,790","7,796",1,"100,000","93,210",Down,1,,"6,790","3,780",401,-1,-1,1,0,0,0,-,0,0,$31,$0.00,8,20,0,https://www.tiktok.com/@sammirios_
216,7359138345219293189,happilyengaged2011,GO,-1,28,@loverallthetime,,BRYTON,0,Y,1.00,0,0%,7,7,0,15,15,"7,062","8,108",1,"100,000","92,938",Down,1,,"7,127","11,673","11,137",-1,-1,1,"2,000",0,"2,000",-,0,0,$32,$0.00,8,20,0,https://www.tiktok.com/@happilyengaged2011
219,7522981364623441936,keepingupwithfridahoeft_,GO,-1,11,@itsfridababy_24668,,LEVI,15,Y,1.00,6,31%,7,1,13,15,2,"6,782","7,787",1,"100,000","93,218",Down,1,,"6,894","18,597","116,175",1,-1,4,0,0,0,-,0,0,$31,$0.00,11,30,0,https://www.tiktok.com/@keepingupwithfridahoeft_
215,7603144665814122510,slaydrigaming,GO,4,4,@adri.13,Gaming,LEVI,"1,852",Y,1.00,19,99%,22,3,68,80,12,"7,088","8,138",1,"100,000","92,912",-,1,,"7,102","2,618","4,246",4,4,26,0,0,0,-,0,0,$32,$0.00,22,80,0,https://www.tiktok.com/@slaydrigaming
220,7491102902766043137,turkcotton,GO,-1,14,@turkishcotton,,BRYTON,26,Y,1.00,1,5%,7,6,4,15,11,"6,527","7,494",1,"100,000","93,473",Down,1,,"7,393","37,886","41,138",-1,-1,2,"11,250",0,"11,250",-,0,0,$29,$0.00,8,20,0,https://www.tiktok.com/@turkcotton
221,7359136568071979013,adubthewarriorprincess,GO,0,15,@nikkithewarriorprincess,,SVEN,7,Y,1.00,7,37%,8,1,19,20,1,"6,424","7,376",1,"100,000","93,576",-,1,,"6,424",374,"3,154",-1,-1,2,0,0,0,-,0,0,$29,$0.00,8,20,0,https://www.tiktok.com/@adubthewarriorprincess
222,7359136478452088837,davehowardshow,GO,-1,14,@davehowardshow_80270,,LEVI,220,Y,1.00,6,31%,7,1,10,15,5,"6,339","7,278",1,"100,000","93,661",Down,1,,"6,339","3,399",645,-1,-1,1,0,0,0,-,0,0,$29,$0.00,8,20,0,https://www.tiktok.com/@davehowardshow
223,7364134731081924609,modern_ragnar_1.0,GO,2,25,,,LEVI,8,Y,1.00,11,57%,15,4,31,40,9,"6,297","7,230",1,"100,000","93,703",-,1,,"8,878","7,215","22,288",-1,-1,7,0,0,0,-,0,0,$28,$0.00,8,20,0,https://www.tiktok.com/@modern_ragnar_1.0
224,7359135112296071173,thomasetv3000,GO,-1,39,@bentleyb,,LEVI,8,Y,1.00,2,10%,7,5,5,15,10,"6,152","7,063",1,"100,000","93,848",Down,1,,"8,482","6,336","5,218",-1,-1,1,"3,500",0,"3,500",-,0,0,$28,$0.00,8,20,0,https://www.tiktok.com/@thomasetv3000
225,7567839803308359694,ironranger023,GO,-1,7,@ironranger023,,ASHLEY,172,Y,1.00,1,5%,7,6,2,15,13,"6,113","7,019",1,"100,000","93,887",Down,1,,"6,113",48,0,-1,-1,1,0,0,0,-,0,0,$28,$0.00,8,20,0,https://www.tiktok.com/@ironranger023
226,7359135099172159494,mayhem.meadows.farm,GO,-1,39,@robersoncreekfarm,,LEVI,6,Y,1.00,3,16%,7,4,7,15,8,"6,052","6,949",1,"100,000","93,948",Down,1,,"6,052",738,"25,587",-1,-1,1,"2,000",0,"2,000",-,0,0,$27,$0.00,8,20,0,https://www.tiktok.com/@mayhem.meadows.farm
226,7628355953762779150,viper_cosplayer,GO,-1,2,@viper080381,,LEVI,27,Y,1.00,7,37%,7,0,10,15,5,"6,019","6,911",1,"100,000","93,981",Down,1,,"6,676","8,670",,5,,16,0,0,0,-,0,0,$27,$0.00,22,80,0,https://www.tiktok.com/@viper_cosplayer
228,7504020275906740240,thecontroversialblonde,GO,-1,13,@thecontroversialblonde,,SVEN,0,Y,1.00,0,0%,7,7,0,15,15,"5,973","6,858",1,"100,000","94,027",Down,1,,"6,760","8,007","6,831",-1,-1,1,"2,500","2,500",0,-,0,0,$27,$0.00,8,20,0,https://www.tiktok.com/@thecontroversialblonde
229,7359135646847598597,djunieq,GO,0,3,@djunieq,Music,SKYLER,64,Y,1.00,7,37%,8,1,18,20,2,"5,880","6,751",1,"100,000","94,120",-,1,,"6,103","16,457","3,527",2,2,8,0,0,0,-,0,0,$26,$0.00,15,40,0,https://www.tiktok.com/@djunieq
230,7585682806014132279,alexshopsfar3,GO,3,6,@alexshopsfar,,LEVI,301,Y,1.00,16,84%,18,2,45,60,15,"5,701","6,546",1,"100,000","94,299",-,1,,"8,754","9,246","6,545",3,4,20,0,0,0,-,0,0,$26,$0.00,18,60,0,https://www.tiktok.com/@alexshopsfar3
233,7581641735269302327,battyfog,GO,2,6,@battyfog,Gaming,ALLIE,262,Y,1.00,15,78%,15,0,37,40,3,"5,553","6,376",1,"100,000","94,447",-,1,,"6,534","6,657","45,708",3,3,17,0,0,0,-,0,0,$25,$0.00,18,60,0,https://www.tiktok.com/@battyfog
234,7541895227787952141,iamlillyelle,GO,0,10,,,LEVI,303,Y,1.00,9,47%,8,-1,19,20,1,"5,469","6,279",1,"100,000","94,531",-,1,,"5,715",604,0,1,-1,5,0,0,0,-,0,0,$25,$0.00,11,30,0,https://www.tiktok.com/@iamlillyelle
235,7575262176085164045,genxjamz,GO,-1,7,@genxjamz,,LEVI,44,Y,1.00,7,37%,7,0,14,15,1,"5,346","6,138",1,"100,000","94,654",Down,1,,"8,346","37,768","10,741",5,2,17,0,0,0,-,0,0,$24,$0.00,22,80,0,https://www.tiktok.com/@genxjamz
231,7421845838604828688,nlmbmeeky,GO,-1,20,@nlmbmeeky,,LEVI,1,Y,1.00,3,16%,7,4,10,15,5,"5,610","6,441",1,"100,000","94,390",Down,1,,"5,610",0,0,-1,-1,1,0,0,0,-,0,0,$25,$0.00,8,20,0,https://www.tiktok.com/@nlmbmeeky
237,7582956443989524535,johnstonecountry,GO,2,6,@johnstonecountry,,DYLAN,238,Y,1.00,12,63%,15,3,39,40,1,"5,294","6,078",1,"100,000","94,706",-,1,,"5,529","1,111","1,957",1,2,10,0,0,0,-,0,0,$24,$0.00,11,30,0,https://www.tiktok.com/@johnstonecountry
236,7524495263340298257,suaskiiii,GO,2,11,@suaskiiii,,LEVI,281,Y,1.00,12,63%,15,3,31,40,9,"5,324","6,113",1,"100,000","94,676",-,1,,"5,336","12,243","7,722",4,1,19,0,0,0,-,0,0,$24,$0.00,22,80,0,https://www.tiktok.com/@suaskiiii
238,7359135732201488390,toxic_luigi69,GO,-1,35,@toxic_luigi,,LEVI,0,Y,1.00,2,10%,7,5,2,15,13,"5,183","5,951",1,"100,000","94,817",Down,1,,"5,183","1,269","14,487",-1,-1,1,"2,500",0,"2,500",-,0,0,$23,$0.00,8,20,0,https://www.tiktok.com/@toxic_luigi69
239,7359135442551209989,rcvry_w._uncle_louie,GO,1,36,@uncle_louie303,,LEVI,84,Y,1.00,8,42%,11,3,23,30,7,"5,091","5,845",1,"100,000","94,909",-,1,,"5,193","2,596",869,-1,-1,4,"11,250",0,"11,250",-,0,0,$23,$0.00,8,20,0,https://www.tiktok.com/@rcvry_w._uncle_louie
240,7615439953488592909,janelleexxx,GO,-1,3,,,LEVI,17,Y,1.00,2,10%,7,5,7,15,8,"5,043","5,790",1,"100,000","94,957",Down,1,,"5,045","1,653","4,214",-1,1,1,0,0,0,-,0,0,$23,$0.00,8,20,0,https://www.tiktok.com/@janelleexxx
241,7592049908509818894,ash_bittickkk,GO,-1,5,@ashleybittick,,ASHLEY,6,Y,1.00,0,0%,7,7,0,15,15,"5,023","5,767",1,"100,000","94,977",Down,1,,"5,023",1,"9,378",-1,-1,1,0,0,0,-,0,0,$23,$0.00,8,20,0,https://www.tiktok.com/@ash_bittickkk
242,7567822393935380494,the_greekbeast,GO,-1,7,@thegreekbeast514,,JOE,43,Y,1.00,2,10%,7,5,6,15,9,"4,995","5,735",1,"100,000","95,005",Down,1,,"5,102","5,881","7,722",-1,-1,1,"37,000","27,000","10,000",-,0,0,$22,$0.00,8,20,0,https://www.tiktok.com/@the_greekbeast
243,7513023387602829313,wildstarr1,GO,-1,7,@envision118795,,LEVI,232,Y,1.00,4,21%,7,3,8,15,7,"4,917","5,645",1,"100,000","95,083",Down,1,,"4,996","14,074","8,134",1,2,4,0,0,0,-,0,0,$22,$0.00,11,30,0,https://www.tiktok.com/@wildstarr1
244,7451459387350319120,its_your_girl490,GO,5,18,@talithagrimmett,,SVEN,172,Y,1.00,22,115%,,,117,,,"4,809","5,521",1,"100,000","95,191",-,1,,"4,809","1,193","14,016",-1,2,16,0,0,0,-,0,0,$22,$0.00,8,20,0,https://www.tiktok.com/@its_your_girl490
246,7608666330618871821,n00lanttv,GO,2,4,@n00lan,Gaming,LEVI,9,Y,1.00,11,57%,15,4,48,40,-8,"4,618","5,302",1,"100,000","95,382",-,1,,"4,618",31,12,3,2,16,0,0,0,-,0,0,$21,$0.00,18,60,0,https://www.tiktok.com/@n00lanttv
247,7573015023421997111,shemandigans,GO,-1,7,@shemandigans,,LEVI,10,Y,1.00,1,5%,7,6,2,15,13,"4,615","5,299",1,"100,000","95,385",Down,1,,"4,615","48,346","84,421",2,2,9,0,0,0,-,0,0,$21,$0.00,15,40,0,https://www.tiktok.com/@shemandigans
248,7543362555650195511,glowymariia,GO,-1,10,@glowymariia,,LEVI,298,Y,1.00,2,10%,7,5,7,15,8,"4,588","5,268",1,"100,000","95,412",Down,1,,"4,703","7,375",601,-1,-1,1,0,0,0,-,0,0,$21,$0.00,8,20,0,https://www.tiktok.com/@glowymariia
249,7554197620911095863,realmelina,GO,-1,9,@officialrealmelina,,SVEN,11,Y,1.00,1,5%,7,6,2,15,13,"4,417","5,071",1,"100,000","95,583",Down,1,,"4,417",0,0,-1,-1,1,"25,800","5,800","20,000",-,0,0,$20,$0.00,8,20,0,https://www.tiktok.com/@realmelina
250,7554923164661268494,ogdiablos,GO,-1,9,@xdiablos,,BRYTON,0,Y,1.00,0,0%,7,7,0,15,15,"4,393","5,044",1,"100,000","95,607",Down,1,,"4,393",0,0,-1,-1,1,0,0,0,-,0,0,$20,$0.00,8,20,0,https://www.tiktok.com/@ogdiablos
252,7455479714787147792,devabby1,GO,-1,17,@devabby,,SIERRA,3,Y,1.00,2,10%,7,5,5,15,10,"4,272","4,905",1,"100,000","95,728",Down,1,,"4,272",0,2,-1,-1,1,0,0,0,-,0,0,$19,$0.00,8,20,0,https://www.tiktok.com/@devabby1
254,7629904406011559950,kristellabilyeu,GO,-1,2,,,LEVI,408,Y,1.00,5,26%,7,2,10,15,5,"4,223","4,849",1,"100,000","95,777",Down,1,,"11,332","18,067",,2,,7,0,0,0,-,0,0,$19,$0.00,15,40,0,https://www.tiktok.com/@kristellabilyeu
255,7359134710397763589,swug_asmr,GO,-1,45,@samtamb,ASMR,LEVI,60,Y,1.00,1,5%,7,6,2,15,13,"4,218","4,843",1,"100,000","95,782",Down,1,,"4,218","26,205","26,943",-1,-1,2,"19,250",0,"19,250",-,0,0,$19,$0.00,8,20,0,https://www.tiktok.com/@swug_asmr
256,7532520627404849166,888_fai_fai,GO,0,10,,,LEVI,114,Y,1.00,7,37%,8,1,19,20,1,"4,124","4,735",1,"100,000","95,876",-,1,,"4,128","1,714",50,2,-1,8,0,0,0,-,0,0,$19,$0.00,15,40,0,https://www.tiktok.com/@888_fai_fai
257,7591706464859734029,lifeaccordingtocheryl,GO,4,5,@cherylsworld,,LEVI,358,Y,1.00,23,120%,22,-1,64,80,16,"4,073","4,676",1,"100,000","95,927",-,1,,"5,201","17,394","46,552",5,5,29,0,0,0,-,0,0,$18,$0.00,22,80,0,https://www.tiktok.com/@lifeaccordingtocheryl
253,7443598415260401680,1250dream,GO,1,18,@genx76,Gaming,LEVI,13,Y,1.00,11,57%,11,0,25,30,5,"4,271","4,904",1,"100,000","95,729",-,1,,"4,990","4,009","1,783",-1,-1,4,0,0,0,-,0,0,$19,$0.00,8,20,0,https://www.tiktok.com/@1250dream
259,7585352066416132151,danny.buth,GO,3,6,@risingsun.,Gaming,BRYTON,16,Y,1.00,16,84%,18,2,61,60,-1,"3,926","4,508",1,"100,000","96,074",-,1,,"5,654","5,010","3,051",5,5,26,0,0,0,-,0,0,$18,$0.00,22,80,0,https://www.tiktok.com/@danny.buth
259,7631723325869375501,myfri3ndlogan,GO,0,2,@singinman,Music,SKYLER,49,Y,1.00,8,42%,8,0,19,20,1,"3,883","4,458",1,"100,000","96,117",-,1,,"4,465","3,920",,4,,14,0,0,0,-,0,0,$17,$0.00,22,80,0,https://www.tiktok.com/@myfri3ndlogan
262,7459925345228144656,breachrepairersoutreach,GO,2,17,@ccfellowship,,LEVI,7,Y,1.00,12,63%,15,3,31,40,9,"3,828","4,395",1,"100,000","96,172",-,1,,"3,828",0,0,-1,-1,7,0,0,0,-,0,0,$17,$0.00,8,20,0,https://www.tiktok.com/@breachrepairersoutreach
261,7615813556428357645,jaybug1019,GO,-1,3,@imperfectimperfectionz,,LEVI,40,Y,1.00,4,21%,7,3,11,15,4,"3,847","4,417",1,"100,000","96,153",Down,1,,"3,850","42,729","47,512",0,1,4,0,0,0,-,0,0,$17,$0.00,8,20,0,https://www.tiktok.com/@jaybug1019
245,7639114759606026253,isabella.hunkins7,GO,0,1,,,LEVI,64,Y,0.65,5,26%,6,1,12,13,1,"4,622","5,307",1,"100,000","95,378",-,1,,"4,622",,,,,2,0,0,0,-,0,0,$21,$0.00,6,13,0,https://www.tiktok.com/@isabella.hunkins7
251,7510767609743343632,arivassallo914,GO,2,12,@lasirena9149471,Gaming,SVEN,119,Y,1.00,15,78%,15,0,39,40,1,"4,314","4,953",1,"100,000","95,686",-,1,,"4,314","3,979","11,246",2,5,14,0,0,0,-,0,0,$19,$0.00,15,40,0,https://www.tiktok.com/@arivassallo914
263,7582802583895523341,leahhmelia,GO,-1,6,@leahbeah1233,,ALLIE,56,Y,1.00,1,5%,7,6,2,15,13,"3,644","4,184",1,"100,000","96,356",Down,1,,"3,644",0,0,-1,-1,1,0,0,0,-,0,0,$16,$0.00,8,20,0,https://www.tiktok.com/@leahhmelia
264,7637169166872625166,kirstenalexismusic,GO,-1,1,@probablykirsten,Music,LEVI,57,Y,0.81,6,31%,6,0,12,13,1,"3,564","4,092",1,"100,000","96,436",-,1,,"3,564",,,,,1,0,0,0,-,0,0,$16,$0.00,7,17,0,https://www.tiktok.com/@kirstenalexismusic
265,7517471096153718800,imamberleybriana,GO,-1,12,@amberley444,,SVEN,67,Y,1.00,3,16%,7,4,7,15,8,"3,535","4,059",1,"100,000","96,465",Down,1,,"3,703","47,378","237,161",2,4,11,"2,000",0,"2,000",-,0,0,$16,$0.00,15,40,0,https://www.tiktok.com/@imamberleybriana
266,7538299940934828046,dovahkiinsdaydream,GO,-1,10,@queenskyrim,,LEVI,5,Y,1.00,2,10%,7,5,16,15,-1,"3,529","4,052",1,"100,000","96,471",Down,1,,"3,529",0,0,-1,-1,1,0,0,0,-,0,0,$16,$0.00,8,20,0,https://www.tiktok.com/@dovahkiinsdaydream
267,7546060436458979383,raven4life79,GO,2,7,@raven1mindy,,SVEN,119,Y,1.00,14,73%,15,1,33,40,7,"3,522","4,044",1,"100,000","96,478",-,1,,"15,188","15,321","16,681",3,4,17,0,0,0,-,0,0,$16,$0.00,18,60,0,https://www.tiktok.com/@raven4life79
232,7524279016195424272,unclevlnny,GO,3,1,@vinny7608,Gaming,LEVI,38,Y,0.84,14,73%,16,2,49,51,2,"5,599","6,428",1,"100,000","94,401",-,1,,"5,599",,,,,10,0,0,0,-,0,0,$25,$0.00,7,17,0,https://www.tiktok.com/@unclevlnny
258,7359139437110067205,chadly886,GO,-1,27,@chadly886,,BRYTON,0,Y,1.00,0,0%,7,7,0,15,15,"4,035","4,633",1,"100,000","95,965",Down,1,,"4,038","3,511","1,330",-1,-1,1,"10,500",0,"10,500",-,0,0,$18,$0.00,8,20,0,https://www.tiktok.com/@chadly886
270,7359135347281985541,first.lady.jay2.0,GO,-1,37,@firstladyjay,,LEVI,8,Y,1.00,1,5%,7,6,2,15,13,"3,198","3,672",1,"100,000","96,802",Down,1,,"5,695","5,102","10,998",-1,-1,1,0,0,0,-,0,0,$14,$0.00,8,20,0,https://www.tiktok.com/@first.lady.jay2.0
269,7552939326489903118,daethaabratt,GO,1,9,,,LEVI,131,Y,1.00,11,57%,11,0,22,30,8,"3,240","3,720",1,"100,000","96,760",-,1,,"5,914","10,862",337,1,-1,7,0,0,0,-,0,0,$15,$0.00,11,30,0,https://www.tiktok.com/@daethaabratt
161,7642800133671010318,prettygirl2229,GO,-1,1,@prettygirl2229,,LEVI,230,Y,0.32,2,10%,3,1,5,5,0,"15,113","17,352",1,"100,000","84,887",Down,1,,"15,113",,,,,1,0,0,0,-,0,0,$68,$0.00,3,7,0,https://www.tiktok.com/@prettygirl2229
271,7541082464794722317,monkabutt1,GO,-1,10,,,LEVI,"1,104",Y,1.00,1,5%,7,6,4,15,11,"3,104","3,564",1,"100,000","96,896",Down,1,,"3,109",630,729,-1,-1,1,0,0,0,-,0,0,$14,$0.00,8,20,0,https://www.tiktok.com/@monkabutt1
274,7359137106595217413,catarina.cordle,GO,4,4,@catarinac_22_27293,,LEVI,145,Y,1.00,18,94%,22,4,68,80,12,"3,077","3,533",1,"100,000","96,923",-,1,,"3,079","1,957","11,826",3,2,22,0,0,0,-,0,0,$14,$0.00,18,60,0,https://www.tiktok.com/@catarina.cordle
272,7359139426389262342,poecelain,GO,2,27,,,SVEN,30,Y,1.00,15,78%,15,0,33,40,7,"3,098","3,557",1,"100,000","96,902",-,1,,"3,444","1,852","2,626",2,2,13,0,0,0,-,0,0,$14,$0.00,15,40,0,https://www.tiktok.com/@poecelain
275,7636081851857321998,imjaydenedwardss,GO,-1,1,@twitchimjaydenedwardss,,LEVI,"1,081",Y,0.90,2,10%,7,5,5,14,9,"3,037","3,487",1,"100,000","96,963",Down,1,,"3,037",,,,,1,0,0,0,-,0,0,$14,$0.00,8,19,0,https://www.tiktok.com/@imjaydenedwardss
276,7359135813340266502,itsjimmay,GO,-1,34,@itsjimmay,,LEVI,3,Y,1.00,5,26%,7,2,9,15,6,"3,000","3,444",1,"100,000","97,000",Down,1,,"3,000",14,674,-1,-1,1,"19,750",0,"19,750",-,0,0,$14,$0.00,8,20,0,https://www.tiktok.com/@itsjimmay
