,Host,3/12,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Rewards Month,Link
573,7534965598565089335,chelseaabrahamson85,GO,,4,@chelseaabrahamson85,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@chelseaabrahamson85
574,7581199131105017869,kuluxka,GO,,4,@kuluxka.,,ASHLEY,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@kuluxka
575,7567839803308359694,ironranger023,GO,,5,@ironranger023,,ASHLEY,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@ironranger023
576,7572471684901519373,thisjusdank,GO,,5,@audank09,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@thisjusdank
577,7574219571838763063,flyonpluto,GO,,5,@herrawass,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@flyonpluto
578,7567540304304455735,kat24516,GO,,5,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@kat24516
579,7568663479326883895,cheifkaito,GO,,5,,Music,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@cheifkaito
580,7573806306994274359,dubocsisters,GO,,5,@dubocfamily,,DYLAN,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@dubocsisters
581,7574199035477835789,therealkashmonroe,GO,,5,@therealkashmonroe,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@therealkashmonroe
582,7568297768498806839,sirenofthewest,GO,,5,@sirenofthewest,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@sirenofthewest
583,7568983817575415863,jackmcars12,GO,,5,@jackmcars12,Music,DYLAN,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@jackmcars12
584,7571164837095587895,oc_tomaz,GO,,5,@octomaz,,SVEN,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@oc_tomaz
585,7573885715550027831,jorosemurphy,GO,,5,@jorosemurphy8192,,DYLAN,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@jorosemurphy
586,7570204642488008759,official_zaybe,GO,,5,@official_zaybe,,TRENTON,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@official_zaybe
587,7573939617729265677,brycebecomingsuccessful,GO,,5,@brycehart.,,DYLAN,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@brycebecomingsuccessful
588,7572615698829295671,realcapitalp,GO,,5,@capitalp27,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@realcapitalp
441,7573870578680152077,moneygeyser,GO,,5,@chpstrrr,,SHAVONNE,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@moneygeyser
590,7567540624602218509,guisellehhh,GO,,5,@guisellehhh,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@guisellehhh
591,7569844849948704782,nataliestavola,GO,,5,@nataliestavola,,TRENTON,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@nataliestavola
592,7570253201903992845,_van.g03,GO,,5,@van.g03,,TRENTON,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@_van.g03
593,7571210053597020215,zzprado,GO,,5,@zzfashion_91643,,TRENTON,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@zzprado
594,7573814597233262647,jakeylafinances,GO,,5,@itsjakeyla,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@jakeylafinances
595,7576082587425456141,craigzilla_music,GO,,5,,,TRE,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@craigzilla_music
596,7558262888209661966,billiejean_406,GO,,6,@billiejean01451,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@billiejean_406
597,7564200409796165687,britxfish,GO,,6,@bfishy.13,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@britxfish
598,7559678405223071758,naomisalinas0604,GO,,6,@rome3062,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,"1,000","1,000",0,-,0,8,20,0,https://www.tiktok.com/@naomisalinas0604
599,7564200331450695735,leenysfinds,GO,,6,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@leenysfinds
600,7564169591367417911,wilsonthegood,GO,,6,@wilsongood936499,Music,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@wilsonthegood
601,7564457242947305527,regalejb,GO,,6,@regale0537,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@regalejb
602,7556407679573573645,itslorenamedina,GO,,6,@lorenamedina1792,Music,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@itslorenamedina
603,7482985251933831185,rayyrollee,GO,,6,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@rayyrollee
604,7558262880408354871,_orionsorbit,GO,,6,@raveinruins,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@_orionsorbit
605,7566474104325554189,jackson.tash,GO,,6,@jackson.tash,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@jackson.tash
606,7565708171323523085,micah_fort_went_e,GO,,6,@hemp4daddy,,DYLAN,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@micah_fort_went_e
607,7565684672328679437,monalisastyless,GO,,6,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@monalisastyless
608,7561872350627610638,princessdianaduh,GO,,6,@thebestforeva,,SVEN,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@princessdianaduh
609,7563349948922773517,gn0ah1224,GO,,6,@Noahg7210,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@gn0ah1224
610,7517725595342651408,2xnique,GO,,6,@itsnique1,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@2xnique
611,7561337080069013518,gabbyholiday,GO,,6,@everything_p,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@gabbyholiday
612,7559309677251772471,leilanisocial,GO,,6,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@leilanisocial
613,7562344919353049143,sexysuccubus666,GO,,6,,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@sexysuccubus666
614,7517538466369028112,jason.j.knight,GO,,6,@jasonjknight,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@jason.j.knight
615,7551917025526988813,laddanurv,GO,,7,@laddanurv.,,SVEN,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@laddanurv
616,7555605705676603406,shaunl33t,GO,,7,@shaunl33t,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@shaunl33t
617,7548320490268442638,bethanyflauren,GO,,7,@bethanyflauren,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@bethanyflauren
618,7424398904805900305,gtrosettv,GO,,7,@gtrose_,Gaming,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@gtrosettv
619,7547563824795271223,rdino_36,GO,,7,@rdino3645,Gaming,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@rdino_36
620,7544949475618635790,extracrispyelle,GO,,7,@extracrispyelle,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@extracrispyelle
621,7549186597481299982,c.p.a.c.k,GO,,7,@calliep88,,,0,N,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,0,0,-1,-1,0,0,0,0,-,0,8,20,0,https://www.tiktok.com/@c.p.a.c.k
