,Host,3/5,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Link
35,7595776572192243726,muthafknsid,GO,,3,@sid13md.,,BRYTON + CARRINGTON,70,Y,1.00,4,113%,7,3,24,15,-9,"96,400","597,680",1,"300,000","203,600",Down,3,✧,"2,946","276,018","148,034",5,5,52,"7,000","7,000",0,1x,0,22,80,https://www.tiktok.com/@muthafknsid
36,7359134875733000198,maiazakay,GO,,40,@maiazakay,Music,MARCO,37,Y,1.00,2,56%,7,5,5,15,10,"87,412","541,954",1,"300,000","212,588",Down,3,,"2,152,380","268,133","3,098",0,-1,17,"61,000",0,"15,000",-,0,8,20,https://www.tiktok.com/@maiazakay
37,7359134984718024709,cpayne_04,GO,,38,@cpayne_04,,CARRINGTON,61,Y,1.00,3,85%,7,4,6,15,9,"84,241","522,294",1,"300,000","215,759",Down,3,,"667,759","209,042","396,884",0,1,30,"26,625",0,625,1x,625,8,20,https://www.tiktok.com/@cpayne_04
38,7359135322615185413,aaronhunt30575,GO,,35,@aaronhunt30,,CARRINGTON,22,Y,1.00,3,85%,7,4,4,15,11,"80,968","502,002",1,"500,000","419,032",Down,4,,"38,635","409,997","888,661",0,1,36,"384,250",0,0,1x,0,8,20,https://www.tiktok.com/@aaronhunt30575
39,7359136363951816710,rockylanemusic,GO,,30,@rockylane,Music,CARRINGTON,67,Y,1.00,5,141%,7,2,12,15,3,"79,740","494,388",1,"1,600,000","1,520,260",Down,6,,"172,743","1,339,912","1,342,827",4,4,68,"1,064,364","65,964","3,500",1x,"3,500",22,80,https://www.tiktok.com/@rockylanemusic
40,7359134961959632902,thecyrilia,GO,,39,@thecyrilia,Music,CARRINGTON,190,Y,1.00,1,28%,7,6,5,15,10,"79,394","492,243",1,"3,000,000","2,920,606",Down,7,,"48,882","1,692,837","2,104,021",2,6,67,"929,850","36,000","93,350",1x,"93,350",15,40,https://www.tiktok.com/@thecyrilia
41,7359134527924666373,basswizrd,GO,,47,@jonwick534253642,Gaming,CARRINGTON,856,Y,1.00,5,141%,7,2,25,15,-10,"77,022","477,536",1,"200,000","122,978",Down,2,,"1,158","113,368","179,383",5,5,45,"5,000",0,"5,000",1x,"5,000",22,80,https://www.tiktok.com/@basswizrd
42,7359134698641293317,bobbyjwil,GO,,43,@bobbyjwil,,CARRINGTON,81,Y,1.00,5,141%,7,2,26,15,-11,"69,394","430,243",1,"1,000,000","930,606",Down,5,,"1,902,637","629,282","596,896",4,5,58,"120,250",0,250,1x,250,22,80,https://www.tiktok.com/@bobbyjwil
43,7608338554233602062,deearnnap,GO,,2,@deepenn43,,LEVI,669,Y,1.00,5,141%,7,2,14,15,1,"62,675","388,585",1,"200,000","137,325",Down,2,✧,"759,739","90,368",,4,,19,0,0,0,-,0,22,80,https://www.tiktok.com/@deearnnap
44,7359134981857280006,averynoelles,GO,,38,@averyszabo,,CARRINGTON,13,Y,1.00,4,113%,7,3,6,15,9,"61,519","381,418",1,"500,000","438,481",Down,4,,"47,239","417,517","422,251",1,2,37,"19,375",0,"14,375",1x,"14,375",11,30,https://www.tiktok.com/@averynoelles
45,7601674566645202999,threehundredseventytwo,GO,,2,,,LEVI,83,Y,1.00,2,56%,7,5,6,15,9,"61,472","381,126",1,"100,000","38,528",Down,1,✧,"1,539","8,374",,-1,,3,0,0,0,-,0,8,20,https://www.tiktok.com/@threehundredseventytwo
46,7359134813120659461,jeremiahboutross,GO,,41,@jeremiahboutross,Gaming,CARRINGTON,37,Y,1.00,5,141%,7,2,24,15,-9,"61,439","380,922",1,"1,000,000","938,561",Down,5,,"107,593","758,627","162,773",5,5,55,"138,100","6,000","12,000",1x,"12,000",22,80,https://www.tiktok.com/@jeremiahboutross
47,7517471096153718800,imamberleybriana,GO,,10,@amberley444,,SVEN,92,Y,1.00,5,141%,7,2,13,15,2,"59,802","370,772",1,"200,000","140,198",Down,2,,"59,666","109,786","3,842",1,-1,11,"2,000",0,"2,000",-,0,11,30,https://www.tiktok.com/@imamberleybriana
48,7359134456151867397,luke.h.reynoldsmusic,GO,,50,@lukereynoldsmusic,Music,CARRINGTON,45,Y,1.00,5,141%,7,2,13,15,2,"59,654","369,855",1,"200,000","140,346",Down,2,,"470,332","101,630","848,108",1,2,31,"131,500",0,"-5,000",1x,0,11,30,https://www.tiktok.com/@luke.h.reynoldsmusic
49,7359137668212490245,sebbythecatdad,GO,,27,@sebbythecatdad,,LEVI,34,Y,1.00,5,141%,7,2,9,15,6,"54,508","337,950",1,"100,000","45,492",Down,1,,"24,725","19,385","390,278",-1,0,14,"328,000",0,"-2,000",-,0,8,20,https://www.tiktok.com/@sebbythecatdad
50,7359136672245809158,natalianope,GO,,30,@nataliejoke,Music,CARRINGTON,6,Y,1.00,2,56%,7,5,4,15,11,"53,356","330,807",1,"500,000","446,644",Down,4,,"29,795","484,600","628,757",0,2,36,"750,450","16,000","5,000",1x,"5,000",8,20,https://www.tiktok.com/@natalianope
51,7359135281678712838,blakeslifeline,GO,,35,@daddyblake03,,CARRINGTON,90,Y,1.00,3,85%,7,4,8,15,7,"48,933","303,385",1,"500,000","451,067",Down,4,,"1,959,226","352,402","351,595",2,1,34,"260,750",0,"155,750",1x,"155,750",15,40,https://www.tiktok.com/@blakeslifeline
52,7359135857971920902,musicalnugget,GO,,21,@iamamomnow,,CARRINGTON,14,Y,1.00,3,85%,7,4,4,15,11,"48,215","298,933",1,"500,000","451,785",Down,4,,"167,885","380,219","388,375",1,1,32,"1,000",0,"1,000",1x,"1,000",11,30,https://www.tiktok.com/@musicalnugget
53,7359137269107916806,metalkitten2,GO,,28,@mistressmetalkitten,,LEVI,238,Y,1.00,2,56%,7,5,8,15,7,"45,478","281,964",1,"1,000,000","954,522",Down,5,,"33,776","541,306","147,471",2,0,29,"14,000",0,"14,000",-,0,15,40,https://www.tiktok.com/@metalkitten2
54,7359135762769608710,mistresswednesday13,GO,,33,@mistresswednesday,,LEVI,31,Y,1.00,2,56%,7,5,6,15,9,"45,269","280,668",1,"500,000","454,731",Down,4,,"141,308","358,474","193,911",2,0,29,"6,500","6,500",0,-,0,15,40,https://www.tiktok.com/@mistresswednesday13
55,7359135589712560133,silvershadowmark,GO,,33,@silvershadowmark,,CARRINGTON,133,Y,1.00,5,141%,7,2,22,15,-7,"44,554","276,235",1,"300,000","255,446",Down,3,,"183,168","245,779","178,550",5,5,50,"40,750",0,"20,750",1x,"20,750",22,80,https://www.tiktok.com/@silvershadowmark
56,7539009437726720013,damoyee,GO,,8,@damoyee,Music,CARRINGTON,171,Y,1.00,2,56%,7,5,4,15,11,"41,682","258,428",1,"300,000","258,318",Down,3,,"3,503,879","278,822","353,164",1,1,30,"1,000",0,0,1x,0,11,30,https://www.tiktok.com/@damoyee
