CID,TikTok,Type,Date,Plus,Minus
7359135264167428102,coloreomusic,Gifted,2/15/2026,,-1000
7359134585688522757,singleonthemove,Bonus,2/15/2026,"35,000",-35000
7359134585688522757,singleonthemove,Gifted,2/15/2026,,-30000
7359135097779519493,bryton.39,Bonus,2/13/2026,"35,000",-35000
7359134961959632902,thecyrilia,Bonus,2/13/2026,"35,000",-35000
7359134585688522757,singleonthemove,Monthly Award,2/12/2026,"30,000",
7359134909191159814,skylerclarkk,Monthly Award,2/12/2026,"15,000",
7359135105165656069,freekbass,Monthly Award,2/12/2026,"10,000",
7433607263870517264,alexaraeemusic,Monthly Award,2/12/2026,"20,000",
7359136363951816710,rockylanemusic,Monthly Award,2/12/2026,"10,000",
7359135407352610822,burnt.tatertot,Monthly Award,2/12/2026,"7,000",
7558760842850746382,sarahegant,Monthly Award,2/12/2026,"15,000",
7359135698651217926,mystiquedejello,Monthly Award,2/12/2026,"8,000",
7359134813120659461,jeremiahboutross,Monthly Award,2/12/2026,"5,000",
7433657413758304273,a.marie.911,Monthly Award,2/12/2026,"10,000",
7387268256991657985,titancosplays,Monthly Award,2/12/2026,"7,000",
7359136220175237125,samuelciafaloni,Monthly Award,2/12/2026,"4,000",
7596161558443671565,biiig46,Monthly Award,2/12/2026,"5,000",
7498149470513889297,sierralevesquemusic,Monthly Award,2/12/2026,"3,000",
7554981574454919223,stephintechnicolor,Monthly Award,2/12/2026,"2,000",
7513787055730638849,cwdetroit,Monthly Award,2/12/2026,"5,000",
7497777597393190929,stefanielauryn415,Monthly Award,2/12/2026,"4,000",
7359134981857280006,averynoelles,Monthly Award,2/12/2026,"3,000",
7527045326104985617,jordananthonymusic,Monthly Award,2/12/2026,"2,000",
7594348083929006094,caroleens,Monthly Award,2/12/2026,"1,000",
7359135283092226053,oregonstargirl,Bonus,2/12/2026,"35,000",-35000
7359136363951816710,rockylanemusic,Gifted,2/11/2026,,-23000
7576723590549389326,gaywhonotme,Bonus,2/11/2026,"35,000",-35000
7481449047811964929,thecluelessbunny,Royal Rumble,2/11/2026,"8,000",-8000
7359135408745447429,b.herbz,Royal Rumble,2/11/2026,"18,000",-8000
7359135264167428102,coloreomusic,Music Cypher,2/6/2026,"10,000",
7359136363951816710,rockylanemusic,Music Cypher,2/6/2026,"7,464",-7464
7359135097779519493,bryton.39,Bonus,2/6/2026,"35,000",-35000
7513787055730638849,cwdetroit,Bonus,2/5/2026,"35,000",-35000
7554552006812188727,imjustnicob,Bonus,2/5/2026,"35,000",-35000
7554552006812188727,imjustnicob,Gifted,2/5/2026,,-15000
7359134909191159814,skylerclarkk,Royal Rumble,2/4/2026,"6,000",-6000
7359134572702957574,jayden_egg,Royal Rumble,2/4/2026,"20,000",
7481449047811964929,thecluelessbunny,Royal Rumble,2/4/2026,"8,000",-8000
7359134813120659461,jeremiahboutross,Royal Rumble,2/4/2026,"2,000",-2000
7578672537446694925,cottonsnivy,Gifted,2/3/2026,,-5000
7359135097779519493,bryton.39,Sunday Knockout,2/2/2026,"4,000",-4000
7566313243967471630,davidwilliamwatts,Sunday Knockout,2/2/2026,"7,000",-2000
