,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
42,7566313243967471630,davidwilliamwatts,GO,4,4,@dwatts7776,ASHLEY + CARRINGTON,0,"2,000","1,888",22K,24,109%,Y,1.00,84,80,-,"423,343",,"423,343",-55%,-9,"937,626","1,284,685",3,4,54,"54,900","27,900","32,000",1x,"32,000",FALSE,FALSE
43,7359134981857280006,averynoelles,GO,2,36,@averyszabo,CARRINGTON,0,0,38,0,23,105%,Y,1.00,41,60,19,"422,251",,"415,751",40%,NR,"301,736","378,134",1,0,36,"16,375",0,"11,375",1x,"11,375",FALSE,FALSE
44,7577837917884858382,whoistatumbittick,GO,-1,3,@tatumbittick,ASHLEY,0,0,"1,083",0,5,23%,Y,1.00,10,15,5,"405,094",✪,"404,946",-68%,22,"1,270,930","36,337",1,-1,39,0,0,0,1x,0,FALSE,FALSE
45,7359137631822708741,sam_g_89,GO,4,26,@sam_g_89,BRYTON + CARRINGTON,0,"3,000",69,62K,21,95%,Y,1.00,80,80,-,"399,965",,"389,516",-3%,NR,"412,494","880,681",4,5,51,"624,500","187,000","1,000",1x,"1,000",- / -,80
46,7359134984718024709,cpayne_04,GO,1,36,@cpayne_04,CARRINGTON,0,0,206,15K,17,77%,Y,1.00,31,40,9,"396,884",,"396,884",13%,NR,"351,453","483,501",1,2,32,"26,625","26,000",625,1x,625,FALSE,FALSE
47,7359138475368513541,scarlettjlopez,GO,0,24,@scarlettlope,LEVI,0,0,380,14K,11,50%,Y,1.00,33,40,7,"391,605",✧,"391,605",415%,NR,"76,000","15,356",-1,-1,17,"92,000",0,"31,000",-,0,FALSE,FALSE
48,7359137668212490245,sebbythecatdad,GO,0,25,@sebbythecatdad,CARRINGTON,0,0,95,7K,10,45%,Y,1.00,29,40,11,"390,278",,"387,610",-45%,NR,"706,290","774,594",2,3,37,"328,000","35,000","-2,000",1x,0,FALSE,FALSE
49,7359135857971920902,musicalnugget,GO,1,19,@iamamomnow,CARRINGTON,0,0,144,1K,18,82%,Y,1.00,35,40,5,"388,375",,"384,095",61%,NR,"241,303","229,790",1,1,31,"1,000",0,"1,000",1x,"1,000",FALSE,FALSE
50,7391438796933546001,mirsowavy,GO,5,6,@shifty0157,CARRINGTON,0,0,144,0,30,136%,Y,1.00,203,80,-,"368,966",,"367,819",150%,-93,"147,317","113,647",5,5,50,0,0,0,1x,0,FALSE,FALSE
51,7539009437726720013,damoyee,GO,1,6,@damoyee,CARRINGTON,0,0,"2,171",3K,13,59%,Y,1.00,26,40,14,"353,164",,"338,747",71%,-82,"206,595","144,283",1,1,31,"1,000",0,0,1x,0,FALSE,FALSE
